case_id,activity,start_time,end_time
C001,受付,2026-03-01 09:00:00,2026-03-01 09:02:00
C001,確認,2026-03-01 09:02:00,2026-03-01 09:10:00
C001,承認,2026-03-01 09:10:00,2026-03-01 09:15:00
C001,完了,2026-03-01 09:15:00,2026-03-01 09:16:00
C002,受付,2026-03-01 10:00:00,2026-03-01 10:03:00
C002,確認,2026-03-01 10:03:00,2026-03-01 10:20:00
C002,差戻し,2026-03-01 10:20:00,2026-03-01 10:21:00
C002,確認,2026-03-01 10:21:00,2026-03-01 10:35:00
C002,承認,2026-03-01 10:35:00,2026-03-01 10:40:00
C002,完了,2026-03-01 10:40:00,2026-03-01 10:41:00
C003,受付,2026-03-01 11:00:00,2026-03-01 11:01:00
C003,確認,2026-03-01 11:01:00,2026-03-01 11:08:00
C003,完了,2026-03-01 11:08:00,2026-03-01 11:09:00
C004,受付,2026-03-01 12:00:00,2026-03-01 12:04:00
C004,確認,2026-03-01 12:04:00,2026-03-01 12:16:00
C004,承認,2026-03-01 12:16:00,2026-03-01 12:22:00
C004,完了,2026-03-01 12:22:00,2026-03-01 12:23:00
C005,受付,2026-03-01 13:00:00,2026-03-01 13:02:00
C005,確認,2026-03-01 13:02:00,2026-03-01 13:09:00
C005,差戻し,2026-03-01 13:09:00,2026-03-01 13:10:00
C005,確認,2026-03-01 13:10:00,2026-03-01 13:18:00
C005,承認,2026-03-01 13:18:00,2026-03-01 13:23:00
C005,完了,2026-03-01 13:23:00,2026-03-01 13:24:00
C006,受付,2026-03-01 14:00:00,2026-03-01 14:01:00
C006,確認,2026-03-01 14:01:00,2026-03-01 14:05:00
C006,完了,2026-03-01 14:05:00,2026-03-01 14:06:00
